location_id,zone,borough,centroid_x,centroid_y
1,Newark Airport,EWR,-74.174270275862,40.69024330172404
2,Jamaica Bay,Queens,-73.8298447614632,40.61112041531353
3,Allerton/Pelham Gardens,Bronx,-73.8465098633635,40.864294038404864
4,Alphabet City,Manhattan,-73.97520908904802,40.723853149707395
5,Arden Heights,Staten Island,-74.18980260697641,40.55667805421754
6,Arrochar/Fort Wadsworth,Staten Island,-74.07174675600425,40.60111748548471
7,Astoria,Queens,-73.9193650454889,40.7614329365109
8,Astoria Park,Queens,-73.9233958241691,40.77807743974382
9,Auburndale,Queens,-73.79018835662427,40.750302438936394
24,Bloomingdale,Manhattan,-73.967739177612,40.80294679300085
10,Baisley Park,Queens,-73.79031743432475,40.677930756477615
11,Bath Beach,Brooklyn,-74.00902265466559,40.60269195902147
12,Battery Park,Manhattan,-74.01547738338618,40.70209109378635
13,Battery Park City,Manhattan,-74.0173256030012,40.70941900773057
18,Bedford Park,Bronx,-73.88938681168743,40.8688767444921
25,Boerum Hill,Brooklyn,-73.9859294600869,40.686587662101374
14,Bay Ridge,Brooklyn,-74.0292460573035,40.62519597292938
15,Bay Terrace/Fort Totten,Queens,-73.77860618505592,40.79099485971973
22,Bensonhurst West,Brooklyn,-73.99579855752069,40.60880523078703
23,Bloomfield/Emerson Hill,Staten Island,-74.19051212465776,40.60462435297202
16,Bayside,Queens,-73.76797232853133,40.76281126316479
17,Bedford,Brooklyn,-73.9503161777868,40.6923989522704
19,Bellerose,Queens,-73.72886971018568,40.73468188788073
20,Belmont,Bronx,-73.88536610645447,40.85894073699993
21,Bensonhurst East,Brooklyn,-73.99043980619615,40.596885770344926
26,Borough Park,Brooklyn,-73.98795177269224,40.63073748249222
27,Breezy Point/Fort Tilden/Riis Beach,Queens,-73.89081930147171,40.56129837263246
28,Briarwood/Jamaica Hills,Queens,-73.80698408223755,40.71231350900487
33,Brooklyn Heights,Brooklyn,-73.99550145502987,40.69696427095926
29,Brighton Beach,Brooklyn,-73.96050734707576,40.57993399288159
31,Bronx Park,Bronx,-73.87512407634516,40.86031038346422
32,Bronxdale,Bronx,-73.86541526840392,40.862116079464556
30,Broad Channel,Queens,-73.82289586807934,40.602882041910725
34,Brooklyn Navy Yard,Brooklyn,-73.9782723436008,40.704714988707146
35,Brownsville,Brooklyn,-73.91032893203258,40.663990621307086
36,Bushwick North,Brooklyn,-73.91683429697895,40.69925991247543
37,Bushwick South,Brooklyn,-73.92392072772931,40.69546427339086
38,Cambria Heights,Queens,-73.73553021222955,40.695104353263055
39,Canarsie,Brooklyn,-73.89010903864794,40.64458394957818
40,Carroll Gardens,Brooklyn,-73.99662564459295,40.67789943259295
41,Central Harlem,Manhattan,-73.95057322060859,40.80335612940569
45,Chinatown,Manhattan,-73.9980492213935,40.71156838061706
46,City Island,Bronx,-73.78291517371082,40.851329485061214
42,Central Harlem North,Manhattan,-73.9370746563841,40.826384446033764
43,Central Park,Manhattan,-73.96649770875561,40.7815070348396
44,Charleston/Tottenville,Staten Island,-74.23734818312747,40.529939284356956
47,Claremont/Bathgate,Bronx,-73.90047161694586,40.84321380141885
48,Clinton East,Manhattan,-73.99074395346146,40.76139808919221
49,Clinton Hill,Brooklyn,-73.96138225466316,40.69025446809173
50,Clinton West,Manhattan,-73.99747392973036,40.76783757642027
51,Co-Op City,Bronx,-73.83037051104496,40.87553226434225
